Angle,Distance,Status
96,14,Obstacle
97,13,Obstacle
98,13,Obstacle
99,13,Obstacle
100,13,Obstacle
101,13,Obstacle
102,13,Obstacle
103,12,Obstacle
104,13,Obstacle
105,12,Obstacle
106,13,Obstacle
107,12,Obstacle
108,12,Obstacle
109,12,Obstacle
110,12,Obstacle
111,12,Obstacle
112,12,Obstacle
113,12,Obstacle
114,11,Obstacle
115,12,Obstacle
116,12,Obstacle
117,12,Obstacle
118,12,Obstacle
119,12,Obstacle
120,12,Obstacle
121,11,Obstacle
122,11,Obstacle
123,12,Obstacle
124,12,Obstacle
125,11,Obstacle
126,11,Obstacle
127,11,Obstacle
128,11,Obstacle
129,12,Obstacle
130,12,Obstacle
131,12,Obstacle
132,12,Obstacle
133,12,Obstacle
134,12,Obstacle
135,12,Obstacle
136,12,Obstacle
137,12,Obstacle
138,12,Obstacle
139,12,Obstacle
140,12,Obstacle
141,12,Obstacle
